Metric,Value
route__vias__singlecut,167178
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1585.89
design__instance__count__class:fill_cell,36714
design__instance__area__class:fill_cell,421239
timing__unannotated_net__count__corner:nom_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,162
design__max_cap_violation__count__corner:min_tt_025C_5v00,5
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.34836365333995617
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.3494845345373184
timing__hold__ws__corner:min_tt_025C_5v00,0.7055298767130603
timing__setup__ws__corner:min_tt_025C_5v00,69.41491844467964
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.705530
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,69.414917
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,808
design__max_fanout_violation__count__corner:min_ss_125C_4v50,162
design__max_cap_violation__count__corner:min_ss_125C_4v50,5
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.4153817130053416
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.4223343738713889
timing__hold__ws__corner:min_ss_125C_4v50,1.5203569944441107
timing__setup__ws__corner:min_ss_125C_4v50,8.854712769197173
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.520357
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,8.854712
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,162
design__max_cap_violation__count__corner:min_ff_n40C_5v50,5
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.32155765071916365
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.32300138478121776
timing__hold__ws__corner:min_ff_n40C_5v50,0.33846970628715983
timing__setup__ws__corner:min_ff_n40C_5v50,77.3892332122339
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.338470
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,96.166039
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,11
design__max_fanout_violation__count__corner:max_tt_025C_5v00,162
design__max_cap_violation__count__corner:max_tt_025C_5v00,11
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.3892694887722587
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.3859525863700802
timing__hold__ws__corner:max_tt_025C_5v00,0.7149196992316923
timing__setup__ws__corner:max_tt_025C_5v00,65.64506990463961
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.714920
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,65.645073
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,3191
design__max_fanout_violation__count__corner:max_ss_125C_4v50,162
design__max_cap_violation__count__corner:max_ss_125C_4v50,11
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.47103278166719753
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.4679421427238368
timing__hold__ws__corner:max_ss_125C_4v50,1.5368449170491292
timing__setup__ws__corner:max_ss_125C_4v50,2.35291970345054
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.536845
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,2.352920
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,162
design__max_cap_violation__count__corner:max_ff_n40C_5v50,10
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.35133838499626796
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.35377854425110405
timing__hold__ws__corner:max_ff_n40C_5v50,0.32662251605632336
timing__setup__ws__corner:max_ff_n40C_5v50,77.11958223638669
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.346508
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,93.656578
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,164
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99992
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99999
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.0000824554
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000593888
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000136443
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000593888
design_powergrid__voltage__worst,0.0000593888
design_powergrid__voltage__worst__net:VDD,4.99992
design_powergrid__drop__worst,0.0000824554
design_powergrid__drop__worst__net:VDD,0.0000824554
design_powergrid__voltage__worst__net:VSS,0.0000593888
design_powergrid__drop__worst__net:VSS,0.0000593888
ir__voltage__worst,5
ir__drop__avg,0.000013900000000000000747427293668057046716057811863720417022705078125
ir__drop__worst,0.000082499999999999999548971896246030155452899634838104248046875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
